"","SampleID","Akashiwo","Amylax","Azadinium","Bispinodinium","Blastodinium","Gloeodinium","Gymnodinium","Gyrodiniellum","Gyrodinium","Herdmania","Heterocapsa","Islandinium","Madanidinium","Nusuttodinium","Parvodinium","Paulsenella","Pelagodinium","Pentapharsodinium","Polarella","Polykrikos","Prorocentrum","Proterythropsis","Protoperidinium","Sabulodinium","Sinophysis","Stoeckeria","Thecadinium","Tintinnophagus","Unclassified Eukaryota"
"21","Station_B2_1",0,0,0,0,0.0610966855048114,0,0.00778982740186345,0.0458225141286085,0.03238124331755,0,0.0542233083855201,0.00351305941652665,0.0285627004734993,0.00152741713762028,0.0241331907744005,0,0,0.382923476401405,0.010997403390866,0.00488773484038491,0.122957079578433,0.00366580113028868,0,0.0281044753322132,0,0,0,0,0.187414082786009
"22","Station_B2_2",0,0,0,0,0.0112770496799756,0,0.00167631819567205,0.0201158183480646,0.0147820786345626,0,0.0249923803718379,0.00304785126485827,0.0149344711978055,0,0.0135629381286193,0,0,0.685004571776897,0.0263639134410241,0.00198110332215788,0.076043889058214,0,0,0.0128009753124048,0,0.00152392563242914,0,0,0.091892715635477
"23","Station_B2_3",0,0,0,0,0.025523295070898,0,0.00148548278190412,0.0229574611748818,0.0205266711681296,0,0.0410533423362593,0,0.0174206617150574,0,0.0185010128291695,0,0,0.595138419986496,0.0099932478055368,0.00418636056718434,0.0954760297096556,0,0,0.0160702228224173,0,0.00135043889264011,0,0,0.13031735313977
"24","Station_B3_1",0.000242718446601942,0,0,0,0.0357605177993527,0,0.00622977346278317,0.0183656957928803,0.0238673139158576,0,0.00962783171521036,0.000323624595469256,0.00250809061488673,0,0.0244336569579288,0,0,0.644660194174757,0.00210355987055016,0.00169902912621359,0.0895631067961165,0,0,0,0,0.00137540453074434,0,0,0.139239482200647
"25","Station_B3_2",0,0,0,0,0.0376738305941846,0,0.00353982300884956,0.0223767383059418,0.0235145385587863,0,0.0152970922882427,0,0.00556257901390645,0,0.0289506953223767,0,0,0.632996207332491,0.00303413400758533,0.000379266750948167,0.0946902654867257,0,0,0,0,0.00139064475347661,0,0,0.130594184576485
"26","Station_B3_3",0,0,0,0,0.0322984476715073,0,0.00876314471707561,0.0179018527791687,0.0165247871807712,0,0.00738607911867802,0,0.00200300450676014,0,0.0274161241862794,0,0,0.633074611917877,0.0015022533800701,0,0.100901352028042,0,0,0,0,0.000751126690035052,0,0,0.151477215823736
"27","Station_B4_1",0,0,0,0,0.0285326086956522,0,0,0.0220788043478261,0,0,0.0234375,0.00407608695652174,0.00611413043478261,0,0.0264945652173913,0,0,0.505774456521739,0.0030570652173913,0.00169836956521739,0.142663043478261,0,0,0,0,0,0,0,0.236073369565217
"28","Station_B4_2",0,0,0,0,0.0279357644697223,0,0.00117096018735363,0.0105386416861827,0.0219136835061894,0,0.0677484108397457,0.00200736032117765,0.00518568082970893,0,0.0163934426229508,0,0,0.600200736032118,0.00518568082970893,0,0.0935095349615256,0,0,0,0,0,0,0,0.148210103713617
"29","Station_B4_3",0,0,0,0,0.0322073841319717,0,0.00680806493846557,0.0170201623461639,0.000785545954438335,0,0.0217334380727939,0.00340403246923278,0.0075936108929039,0,0.025923016496465,0,0,0.497512437810945,0.00288033516627389,0.00183294056035611,0.139827179890024,0,0.000261848651479445,0,0,0,0,0,0.242210002618487
"30","Station_B5_1",0,0,0,0,0.0277146751476602,0,0,0.0513402998636983,0,0,0.00817810086324398,0.00545206724216265,0.00499772830531577,0,0.0172648796001817,0,0,0.402089959109496,0,0,0.146751476601545,0,0,0,0,0,0,0,0.336210813266697
"31","Station_B5_2",0,0,0,0,0.030880420499343,0,0,0.0505913272010513,0,0,0.00788436268068331,0,0.00295663600525624,0,0.0177398160315375,0,0.00821287779237845,0.398817345597897,0,0.00197109067017083,0.127135348226018,0,0,0,0,0.0026281208935611,0,0,0.351182654402103
"32","Station_B5_3",0,0,0,0,0.0209816410640689,0,0,0.052079430498314,0,0,0.0086174597227426,0.00936680404645935,0,0,0.0161109029599101,0,0,0.35031847133758,0.00187336080929187,0,0.141626077182465,0,0,0,0,0,0,0,0.399025852379168
