,kingdom,supergroup,division,class,order,family,genus,species,taxon
Opalozoa_98,Eukaryota,Stramenopiles,Opalozoa,Opalinata,Opalinata_X,Blastocystis-Group,Blastocystis,Blastocystis_sp.,Blastocystis_sp.
Sagenista_57,Eukaryota,Stramenopiles,Sagenista,MAST-7,,,,,MAST-7
Sagenista_93,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Labyrinthulales,Labyrinthulaceae,Labyrinthula,Labyrinthula_sp.,Labyrinthula_sp.
Telonemia_2,Eukaryota,Hacrobia,Telonemia,Telonemia_X,Telonemia_XX,Telonemia-Group-2,Telonemia-Group-2_X,Telonemia-Group-2_X_sp.,Telonemia-Group-2_X_sp.
Bacillariophyta_296,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Araphid-pennate,Licmophora,Licmophora_gracilis,Licmophora_gracilis
Bacillariophyta_321,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Araphid-pennate,Synedra,Synedra_fragilaroides,Synedra_fragilaroides
Centroheliozoa_0,Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa_X,Centroheliozoa_XX,Centroheliozoa_XXX,Centroheliozoa_XXXX,Centroheliozoa_XXXX_sp.,Centroheliozoa_XXXX_sp.
Cercozoa_314,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Filosa-Thecofilosea_X,Mataza-lineage,Mataza-lineage_X,Mataza-lineage_X_sp.,Mataza-lineage_X_sp.
Ciliophora_1395,Eukaryota,Alveolata,Ciliophora,Litostomatea,Trichostomatia,Trichostomatia_X,Diplodinium,Diplodinium_anisacanthum,Diplodinium_anisacanthum
Dictyochophyceae_20,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,Pedinellales,Pedinellales_X,Pedinellales_X_sp.,Pedinellales_X_sp.
Dinoflagellata_1912,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Thecadiniaceae,Thecadinium,,Thecadinium
Dinoflagellata_823,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum_cordatum,Prorocentrum_cordatum
Dinoflagellata_856,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum_micans,Prorocentrum_micans
Metamonada_26,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,,,,Oxymonadida
Pseudofungi_95,Eukaryota,Stramenopiles,Pseudofungi,Pirsonia_Clade,Pirsonia_Clade_X,Pirsonia_Clade_XX,Pirsonia,,Pirsonia
Cercozoa_11,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Filosa-Imbricatea_X,Novel-clade-2,Novel-clade-2_X,Novel-clade-2_X_sp.,Novel-clade-2_X_sp.
