,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
Barrow_S2C3_16S.16S.exp.,2.547564638143235,1.1918304450952746,5.393522198833876,4.608113480303895,3075.9713516383545,1360.4275875901683,3614778.795526457,1648948.6746509662,36.771681913175044,11.185932587786162,0.43470693517287334,0.12371699931465258,0.46160555778747375,0.12936434744775974
B234-P_Station_B12_16S.16S.exp.,2.3531329150912703,1.177470043525456,3.6697252567702368,2.9128485141647933,3267.7366961884204,1462.6071628554184,3659840.09554278,1667540.0029917734,41.10412808659005,9.615001370689027,0.41572894939426064,0.08954315019521392,0.5268543538862253,0.1248758946430354
B234-P_core_3_16S.16S.exp.,2.921963455060183,1.625410159908329,3.776076144485623,3.524545635574224,3465.8586194768113,1110.3048939797152,4022098.82335089,1351311.5712389168,41.709512304383225,9.93990251518567,0.3956192548817664,0.09405907945706839,0.4787179075258326,0.13762219319538327
B234-P_Blank772_16S.16S.exp.,2.699454842032967,0.9120229433388524,1.9799733144459708,0.602755173520627,3959.929436588337,1393.0271201696671,4750564.698732513,1619194.5473836407,59.51433938142159,11.798178659785187,0.384082715098511,0.025859031453508572,0.42388487462283664,0.0882833043343862
B234-P_Station_B21_16S.16S.exp.,2.4525543201051,1.0611553371666669,3.6810055767588246,2.5829594584532183,3436.7713747033627,1276.301587860803,3857197.0139526227,1438941.0187182077,41.84181004132741,7.611473266353654,0.39901722572576204,0.06580007929250792,0.5599226783801915,0.10961346736085102
Barrow_BarrowBlank1_16S.16S.exp.,2.54469350750732,1.3590820395558978,3.0202651127179476,2.8125669007610226,3017.2782916269803,1314.7671608056685,3508335.16976399,1555039.0187514613,41.08086452072018,11.59716799030716,0.4006494092689702,0.1114932367833235,0.5093054898560805,0.14880910368834432
mock_community_II_3_16S.16S.exp.,5.890938660351878,0.5772786591763436,1.0073489265670303,0.1695453145694406,2994.882690152602,789.0047531230621,3160742.676675506,911441.0169017162,39.98468167963147,7.009140889530323,0.5092333338918787,0.02242995451723926,0.5190672000329885,0.019771490966568408
B234-P_B33_16S.16S.exp.,2.4749163039284707,0.9980126990989217,3.7175007185614284,2.3750204561113613,3333.5238519417603,1304.4674603561118,3754400.7843428617,1472071.58607537,40.753101042320814,9.273047631956198,0.41269542712949164,0.09525112519015237,0.555487026869929,0.1149495144147534
B234-P_B42_16S.16S.exp.,2.560825488828318,0.9931575677782403,3.6259142169712284,2.449055946302926,3460.8814544208694,1076.8584174721427,3894900.170121641,1214944.0858936561,41.80861378323022,7.113077949277971,0.39439989931339564,0.07350793624756284,0.5617125325845771,0.11112959605624705
B234-P_core_4_16S.16S.exp.,2.802846237983971,1.4644322542826378,5.790032433792514,5.152585209100814,3085.2546604592867,1300.6740068164572,3718377.754797129,1617174.6489414417,35.52819961300238,10.716624151555262,0.4109614905417386,0.12231215875369816,0.4289476568390204,0.1271284908349544
B234-P_BlankFiltSW2_16S.16S.exp.,1.917551846231664,1.544324475774692,1.5217112174623555,0.5724356507934798,2194.8207203351362,1797.283722433344,2699821.751378027,2020899.4815758716,45.498067422997835,12.553423549649542,0.4108787214535329,0.032163009584593436,0.5175930493716965,0.08547983261972225
B234-P_Carboy4_16S.16S.exp.,2.6961315200067997,1.090682371088995,3.6302403183196086,2.628701005071684,3365.677661041896,867.5734442486794,3817567.550838265,996432.4841134668,41.0372099948204,6.926066447897213,0.3905669884017526,0.07951011378604499,0.552926739969239,0.11775480474819262
B234-P_Carboy3_16S.16S.exp.,2.6714633659841045,1.0971273753496702,3.8001743066850926,2.7987578025547935,3349.0379654349144,972.037744811329,3806202.8652555146,1111367.5569979746,40.772698590782824,7.494165071089336,0.39592816448770607,0.08500274152706434,0.5460069705751825,0.12047895008747563
B234-P_DockSlush1_16S.16S.exp.,2.5211655986950903,0.9856045943479104,3.724825336831562,2.409857815730402,3565.1130156674144,1358.7905413717779,3993111.1874341886,1509077.2529245857,41.976079701577234,8.39515183661682,0.4026787023350135,0.08095403415793628,0.5674269818700762,0.11175087405723247
B234-P_Iceslush_16S.16S.exp.,2.283175986817649,1.2587030846916285,5.53070860393821,5.295683658317546,2673.138688369454,1583.888779277767,3197105.4825850595,1940067.2351756159,33.046807042927746,13.606905331166983,0.4835477769381259,0.1817186003408921,0.36767718914293857,0.12024720189278418
B234-P_StationB53_16S.16S.exp.,2.582929508518146,1.0594977605431757,3.5273410681791666,2.19495648027184,3472.80511507173,1124.485877424553,3904837.7429505954,1255933.4074469607,41.98129188866751,7.191213590072094,0.3944214383254678,0.07714934127634336,0.5568222201381372,0.11761040791176107
B234-P_Core_6_16S.16S.exp.,3.0419863134953133,1.7629280909808267,3.188671779842831,3.6822753736084284,3578.9939552829373,1097.9638022047634,4265870.828327415,1466035.011898108,42.18675064489909,10.662927694921569,0.3852335827452441,0.10717952009377567,0.4216177259944119,0.1371046880212586
B234-P_blankMQ191118_16S.16S.exp.,2.821993393595844,1.4450299546344527,5.8346416361947355,5.117782604801475,3189.3308940433412,1185.211849937434,3835694.3451169757,1475679.5543663602,36.1967134913969,10.636931105750275,0.40914835677207584,0.12837976319271138,0.4260962978928566,0.13529090232635335
