,superkingdom,phylum,clade,class,order,family,genus,species,strain,taxon
Proteobacteria_6948,Bacteria,Proteobacteria,,,,,,,,Proteobacteria
Proteobacteria_8180,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,Salmonella enterica subsp. enterica serovar Heidelberg str. SL476
Proteobacteria_8181,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,,Salmonella enterica
Proteobacteria_8277,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli O55:H7 str. CB9615,Escherichia coli O55:H7 str. CB9615
Proteobacteria_8393,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,,Escherichia albertii
Proteobacteria_8572,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli IHE3034,Escherichia coli IHE3034
Proteobacteria_8577,Bacteria,Proteobacteria,,,,,,,,
Proteobacteria_8757,Bacteria,Proteobacteria,,,,,,,,
Proteobacteria_8942,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli K-12,Escherichia coli K-12
Proteobacteria_9002,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,,Salmonella enterica
Proteobacteria_9054,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,,Salmonella enterica
Proteobacteria_9107,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,Salmonella enterica subsp. enterica serovar Typhimurium str. CDC 2011K-0870,Salmonella enterica subsp. enterica serovar Typhimurium str. CDC 2011K-0870
Proteobacteria_9111,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,,Salmonella enterica
Bacteroidetes_222,Bacteria,Bacteroidetes,FCB group,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,,,,Rhodothermaceae
Chlamydiae_41,Bacteria,Chlamydiae,PVC group,Chlamydiia,Parachlamydiales,,,,,Parachlamydiales
Proteobacteria_1913,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter sp. P2G3,,Psychrobacter sp. P2G3
Proteobacteria_3959,Bacteria,Proteobacteria,,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,,,,Thiotrichaceae
Proteobacteria_4404,Bacteria,Proteobacteria,,Oligoflexia,Bacteriovoracales,,,,,Bacteriovoracales
Proteobacteria_5228,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,,Rhodospirillaceae
Proteobacteria_6567,Bacteria,Proteobacteria,,,,,,,,Proteobacteria
Firmicutes_Tenericutes_2526,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus glycinifermentans,,Bacillus glycinifermentans
Proteobacteria_1989,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,,Pseudomonas aeruginosa
Proteobacteria_2009,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,,Pseudomonas aeruginosa
Proteobacteria_8543,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,Escherichia coli
Bacteroidetes_916,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter sp. T28,,Maribacter sp. T28
Bacteroidetes_979,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,Winogradskyella helgolandensis,,Winogradskyella helgolandensis
Deinococcus-Thermus_61,Bacteria,Deinococcus-Thermus,Terrabacteria group,Deinococci,,,,,,Deinococci
Proteobacteria_3098,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia oculi,,Massilia oculi
Proteobacteria_4360,Bacteria,Proteobacteria,,Deltaproteobacteria,Myxococcales,Archangiaceae,Cystobacter,Cystobacter fuscus,,Cystobacter fuscus
Proteobacteria_6227,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas alpina,,Sphingomonas alpina
Proteobacteria_8574,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,Escherichia coli
Proteobacteria_8585,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,Escherichia coli
Proteobacteria_8903,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,,Shigella dysenteriae
Bacteroidetes_272,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,,,,Chitinophagaceae
Proteobacteria_2634,Bacteria,Proteobacteria,,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomicrobium,Methylomicrobium buryatense,,Methylomicrobium buryatense
Proteobacteria_6037,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter,Octadecabacter antarcticus,Octadecabacter antarcticus 307,Octadecabacter antarcticus 307
Bacteroidetes_112,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,,,,,Cytophagales
Acidobacteria_25,Bacteria,Acidobacteria,,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella sp. 5B5,,Granulicella sp. 5B5
Acidobacteria_4,Bacteria,Acidobacteria,,Acidobacteriia,Bryobacterales,Solibacteraceae,Candidatus Solibacter,Candidatus Solibacter usitatus,,Candidatus Solibacter usitatus
Acidobacteria_6,Bacteria,Acidobacteria,,Vicinamibacteria,,Vicinamibacteraceae,Luteitalea,Luteitalea pratensis,,Luteitalea pratensis
Actinobacteria_1378,Bacteria,Actinobacteria,Terrabacteria group,Actinobacteria,Nakamurellales,Nakamurellaceae,Nakamurella,,,Nakamurella
Actinobacteria_156,Bacteria,Actinobacteria,Terrabacteria group,,,,,,,Terrabacteria group
Actinobacteria_158,Bacteria,Actinobacteria,Terrabacteria group,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,Conexibacter woesei,Conexibacter woesei DSM 14684,Conexibacter woesei DSM 14684
Actinobacteria_177,Bacteria,Actinobacteria,Terrabacteria group,Acidimicrobiia,Acidimicrobiales,,,,,Acidimicrobiales
Actinobacteria_189,Bacteria,Actinobacteria,Terrabacteria group,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albus,,Streptomyces albus
Actinobacteria_1937,Bacteria,Actinobacteria,Terrabacteria group,Actinobacteria,Micrococcales,Microbacteriaceae,Cryobacterium,Cryobacterium soli,,Cryobacterium soli
Actinobacteria_1996,Bacteria,Actinobacteria,Terrabacteria group,Actinobacteria,Micrococcales,Microbacteriaceae,Salinibacterium,Salinibacterium sp. UTAS2018,,Salinibacterium sp. UTAS2018
Actinobacteria_2002,Bacteria,Actinobacteria,Terrabacteria group,Actinobacteria,Micrococcales,Microbacteriaceae,Salinibacterium,Salinibacterium sp. dk2585,,Salinibacterium sp. dk2585
Actinobacteria_2008,Bacteria,Actinobacteria,Terrabacteria group,Actinobacteria,Micrococcales,Microbacteriaceae,Microterricola,Microterricola viridarii,,Microterricola viridarii
Actinobacteria_27,Bacteria,Actinobacteria,Terrabacteria group,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,Cutibacterium acnes SK137,Cutibacterium acnes SK137
Actinobacteria_934,Bacteria,Actinobacteria,Terrabacteria group,Actinobacteria,Corynebacteriales,Lawsonellaceae,Lawsonella,Lawsonella clevelandensis,,Lawsonella clevelandensis
Bacteroidetes_132,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter gotjawali,,Mucilaginibacter gotjawali
Bacteroidetes_410,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides helcogenes,Bacteroides helcogenes P 36-108,Bacteroides helcogenes P 36-108
Chloroflexi_22,Bacteria,Chloroflexi,Terrabacteria group,Tepidiformia,Tepidiformales,Tepidiformaceae,Tepidiforma,Tepidiforma bonchosmolovskayae,,Tepidiforma bonchosmolovskayae
