,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
Barrow_S1IC4_16S.16S.exp.,1.0,0.0,1.0,0.0,1604.6666666666665,4.630920350039701e-13,1695705.0,0.0,48.68528429550977,7.235813046937034e-15,0.718670667460355,0.0,0.27444364957538797,0.0
B234-P_B41_16S.16S.exp.,1.0,0.0,1.0,0.0,1744.260869565217,114.43982833043904,1628386.3043478262,55188.10820147495,39.170272338990024,7.800440937060578,0.6944554166897209,0.01985174945397877,0.5206274531695166,0.2018223653708697
B234-P_B42_16S.16S.exp.,1.0,0.0,1.0,0.0,1762.3333333333335,109.78497502272663,1619670.9375,52943.32549115611,37.93841811247632,7.483157096048085,0.6913204065453085,0.019044277239472197,0.5524994634562562,0.19361321722094135
B234-P_core_3_16S.16S.exp.,1.0,0.0,1.0,0.0,1251.3333333333333,420.86894238784913,1163208.0,304746.1931315532,37.25472104463943,3.034620689898443,0.7259585594872063,0.03399943743565326,0.7259585594872063,0.03399943743565326
B234-P_B31_16S.16S.exp.,1.0,0.0,1.0,0.0,1757.5555555555559,109.41922728207457,1621975.0,52766.94523805692,38.26408072408339,7.458227019776196,0.6921492023306128,0.018980831386601654,0.5440735297022906,0.19296819638139315
B234-P_B32_16S.16S.exp.,1.0,0.0,1.0,0.0,1764.6666666666672,106.57138601641759,1618545.6976744186,51393.58620560634,37.77937358122635,7.264112628703027,0.6909156458129504,0.018486819536747395,0.5566144543593559,0.18794583599497178
B234-P_Station_B14_16S.16S.exp.,1.0,0.0,1.0,0.0,1679.851851851852,149.19097670725316,1700525.962962963,9566.301809889683,47.08369156645126,3.178062047023554,0.7098300100277446,0.017542635744751383,0.284572566279915,0.020098945987999963
B234-P_DockSlush1_16S.16S.exp.,1.0,0.0,1.0,0.0,1792.30303030303,89.03265354424279,1605218.1818181819,42935.60894793114,35.89562536694105,6.068638563807764,0.6861215966193079,0.015444395165289579,0.6053530479129502,0.157015096891445
B234-P_DockSlush2_16S.16S.exp.,1.0,0.0,1.0,0.0,1834.0,0.0,1585110.0,0.0,33.05347893837018,2.1400703322281564e-14,0.6788884697657415,3.3438598941064944e-16,0.6788884697657415,3.3438598941064944e-16
B234-P_StationB53_16S.16S.exp.,1.0,0.0,1.0,0.0,1739.5686274509806,116.34072115425784,1630649.1176470588,56104.805476984715,39.49010467366297,7.930009483398012,0.6952693746988179,0.020181495213194307,0.5123523673344197,0.205174718232776
B234-P_Station_B12_16S.16S.exp.,1.0,0.0,1.0,0.0,1756.13216957606,129.9204692143023,1618922.4688279303,78714.48778865075,38.318392213274436,7.273934259555593,0.6922144350016084,0.019229114231235155,0.5412541838405824,0.19156619117309573
B234-P_blankMQ191118_16S.16S.exp.,1.0,0.0,1.0,0.0,1550.9444444444446,180.70390584406752,1633751.0,208392.90184895592,47.90778911236512,2.615238360543274,0.7212392455343204,0.008639852769138905,0.3140311458064338,0.1331593313833208
B234-P_Carboy8_16S.16S.exp.,1.0,0.0,1.0,0.0,1834.0,0.0,1585110.0,0.0,33.053478938370205,0.0,0.6788884697657419,1.3597399555105182e-16,0.6788884697657419,1.3597399555105182e-16
B234-P_Carboy7_16S.16S.exp.,1.0,0.0,1.0,0.0,1834.0,0.0,1585110.0,0.0,33.053478938370205,0.0,0.6788884697657418,0.0,0.6788884697657418,0.0
