"","CultureID_short","Sample_type","molFractionC_pertotalC","total_mmol","Identification","Emperical.Formula","Contains_N","Contains_S"
"109","20ppt3C","Exp_Melted",0.001158,2.48661013953333,"SAH †*","C14H20N6O5S","yes","yes"
"110","35ppt0C","Exp_Ambient",0.000769666666666667,4.03353305183333,"SAH †*","C14H20N6O5S","yes","yes"
"111","50ppt-3C","Exp_Frozen",0.000294333333333333,3.98563384757333,"SAH †*","C14H20N6O5S","yes","yes"
"112","Hero1","Melted_hero",5.54666666666667e-05,1.34416321036667,"SAH †*","C14H20N6O5S","yes","yes"
"113","StaB1","SW_Station B1",0.00015908,3.53316924234,"SAH †*","C14H20N6O5S","yes","yes"
"114","StaB2","SW_Station B2",0.000257333333333333,3.01257189273333,"SAH †*","C14H20N6O5S","yes","yes"
"115","StaB3","SW_Station B3",0.000212,2.55934740726667,"SAH †*","C14H20N6O5S","yes","yes"
"116","StaB4","SW_Station B4",0.000349666666666667,3.64243740004,"SAH †*","C14H20N6O5S","yes","yes"
"117","StaB5","SW_Station B5",7.64333333333333e-05,3.12584895483333,"SAH †*","C14H20N6O5S","yes","yes"
"118","20ppt3C","Exp_Melted",0.00906666666666667,2.48661013953333,"SAM †*","C15H22N6O5S","yes","yes"
"119","35ppt0C","Exp_Ambient",0.00955333333333333,4.03353305183333,"SAM †*","C15H22N6O5S","yes","yes"
"120","50ppt-3C","Exp_Frozen",0.00287666666666667,3.98563384757333,"SAM †*","C15H22N6O5S","yes","yes"
"121","Hero1","Melted_hero",0.000340333333333333,1.34416321036667,"SAM †*","C15H22N6O5S","yes","yes"
"122","StaB1","SW_Station B1",0.002504,3.53316924234,"SAM †*","C15H22N6O5S","yes","yes"
"123","StaB2","SW_Station B2",0.00341333333333333,3.01257189273333,"SAM †*","C15H22N6O5S","yes","yes"
"124","StaB3","SW_Station B3",0.00341333333333333,2.55934740726667,"SAM †*","C15H22N6O5S","yes","yes"
"125","StaB4","SW_Station B4",0.00367666666666667,3.64243740004,"SAM †*","C15H22N6O5S","yes","yes"
"126","StaB5","SW_Station B5",0.00258,3.12584895483333,"SAM †*","C15H22N6O5S","yes","yes"
"127","20ppt3C","Exp_Melted",0.000768119,2.48661013953333,"ADP †","C10H15N5O10P2","yes","no"
"128","35ppt0C","Exp_Ambient",2.89e-07,4.03353305183333,"ADP †","C10H15N5O10P2","yes","no"
"129","50ppt-3C","Exp_Frozen",0.00518,3.98563384757333,"ADP †","C10H15N5O10P2","yes","no"
"130","Hero1","Melted_hero",1.98666666666667e-06,1.34416321036667,"ADP †","C10H15N5O10P2","yes","no"
"131","StaB1","SW_Station B1",0.001210607,3.53316924234,"ADP †","C10H15N5O10P2","yes","no"
"132","StaB2","SW_Station B2",5.52666666666667e-07,3.01257189273333,"ADP †","C10H15N5O10P2","yes","no"
"133","StaB3","SW_Station B3",3.64333333333333e-07,2.55934740726667,"ADP †","C10H15N5O10P2","yes","no"
"134","StaB4","SW_Station B4",0.000571,3.64243740004,"ADP †","C10H15N5O10P2","yes","no"
"135","StaB5","SW_Station B5",0.000544666666666667,3.12584895483333,"ADP †","C10H15N5O10P2","yes","no"
"136","20ppt3C","Exp_Melted",1.38384666666667e-05,2.48661013953333,"Agmatine †","C5H14N4","yes","no"
"137","35ppt0C","Exp_Ambient",3.94333333333333e-05,4.03353305183333,"Agmatine †","C5H14N4","yes","no"
"138","50ppt-3C","Exp_Frozen",9.8411e-06,3.98563384757333,"Agmatine †","C5H14N4","yes","no"
"139","Hero1","Melted_hero",4.79666666666667e-05,1.34416321036667,"Agmatine †","C5H14N4","yes","no"
"140","StaB1","SW_Station B1",0.0003898,3.53316924234,"Agmatine †","C5H14N4","yes","no"
"141","StaB2","SW_Station B2",0.000201666666666667,3.01257189273333,"Agmatine †","C5H14N4","yes","no"
"142","StaB3","SW_Station B3",0.000106366666666667,2.55934740726667,"Agmatine †","C5H14N4","yes","no"
"143","StaB4","SW_Station B4",0.000198666666666667,3.64243740004,"Agmatine †","C5H14N4","yes","no"
