"","Sample1","Sample2","Metabolite distance (Euclidean)","Eukaryotic distance (Bray-Curtis)","Prokaryotic distance (Bray-Curtis)"
"85","SW_17_C","Sea ice_1_A",0.212199940806233,0.61612106357341,0.685419201452743
"86","SW_19_A","Sea ice_1_A",0.21116475346176,0.63922048687676,0.684995886662305
"87","SW_19_B","Sea ice_1_A",0.225562354706761,0.616976694767988,0.683043114554419
"88","SW_19_C","Sea ice_1_A",0.235634607179126,0.637751715425451,0.691225540537279
"89","Sea ice_1_A","Sea ice_1_B",0.124179478438222,0.47473910965016,0.559522965923952
"90","Sea ice_1_B","Sea ice_1_B",0,0,0
"91","Sea ice_1_C","Sea ice_1_B",0.0968401479231387,0.390913013544991,0.466130900788063
"92","Sea ice_2","Sea ice_1_B",0.0827358268456963,0.613475620210111,0.638903585297722
"93","Meltwater_A","Sea ice_1_B",0.237414933322397,0.336493344653356,0.469976399725214
"94","Meltwater_B","Sea ice_1_B",0.156941869317757,0.662797520757398,0.756209537517941
"95","Meltwater_C","Sea ice_1_B",0.143330000221343,0.696728977139392,0.836044239315039
"96","SW_08_A","Sea ice_1_B",0.167227323258171,0.448304724514493,0.49521312780767
"97","SW_08_B","Sea ice_1_B",0.176703015776199,0.454541389361341,0.513581232746118
"98","SW_08_C","Sea ice_1_B",0.181082120692379,0.430317331018768,0.499130647651353
"99","SW_12_A","Sea ice_1_B",0.208060906104969,0.387071326667082,0.581006090350943
"100","SW_12_B","Sea ice_1_B",0.198405943554333,0.359394523513686,0.409547905900986
"101","SW_12_C","Sea ice_1_B",0.198379754981532,0.362071667082273,0.484677849069285
"102","SW_15_A","Sea ice_1_B",0.188376200027119,0.361767530871502,0.503505255260213
"103","SW_15_B","Sea ice_1_B",0.213516689425776,0.368215871845458,0.506217597182763
"104","SW_15_C","Sea ice_1_B",0.197768939374777,0.371364566218195,0.492706168597481
"105","SW_17_A","Sea ice_1_B",0.217492850645354,0.431804599267918,0.521933648815137
"106","SW_17_B","Sea ice_1_B",0.224532546875987,0.38901726310726,0.459162038758048
"107","SW_17_C","Sea ice_1_B",0.216521554083169,0.436556156873676,0.507352671963925
"108","SW_19_A","Sea ice_1_B",0.210555940582331,0.487816615404013,0.504516860495469
"109","SW_19_B","Sea ice_1_B",0.222537376527956,0.475164444501177,0.527313732321937
"110","SW_19_C","Sea ice_1_B",0.232791354604993,0.497211314160078,0.523421471248009
"111","Sea ice_1_A","Sea ice_1_C",0.124360390781518,0.371137136044539,0.42598259125665
"112","Sea ice_1_B","Sea ice_1_C",0.0968401479231387,0.390913013544991,0.466130900788063
"113","Sea ice_1_C","Sea ice_1_C",0,0,0
"114","Sea ice_2","Sea ice_1_C",0.107171534756386,0.50028690084133,0.378950922001927
"115","Meltwater_A","Sea ice_1_C",0.268505422922827,0.526222562135398,0.649561509489457
"116","Meltwater_B","Sea ice_1_C",0.1419350255664,0.715011524453228,0.812186749667869
"117","Meltwater_C","Sea ice_1_C",0.136962757283718,0.709999938936372,0.877926617415942
"118","SW_08_A","Sea ice_1_C",0.154007169785619,0.494295965662656,0.639775887592904
"119","SW_08_B","Sea ice_1_C",0.181031593130503,0.492197054946857,0.64259413788274
"120","SW_08_C","Sea ice_1_C",0.186031366079936,0.48246757855665,0.665033049847274
"121","SW_12_A","Sea ice_1_C",0.21751994193072,0.523221572793017,0.749612464606396
"122","SW_12_B","Sea ice_1_C",0.206591952352312,0.424029388021409,0.453961713361231
"123","SW_12_C","Sea ice_1_C",0.20372632300006,0.495859187718189,0.632568253530763
"124","SW_15_A","Sea ice_1_C",0.193996076472902,0.532991439009855,0.657237655242641
"125","SW_15_B","Sea ice_1_C",0.219986134257425,0.532602059395512,0.655666097042864
"126","SW_15_C","Sea ice_1_C",0.195106715472844,0.529825174858858,0.670442967444941
"127","SW_17_A","Sea ice_1_C",0.219351247209333,0.528977736860928,0.663670885658108
"128","SW_17_B","Sea ice_1_C",0.224095392024329,0.493638634981337,0.593314630741587
"129","SW_17_C","Sea ice_1_C",0.216775787342019,0.533629847796344,0.662928790731292
"130","SW_19_A","Sea ice_1_C",0.212627306921301,0.548134077764332,0.671411781654548
"131","SW_19_B","Sea ice_1_C",0.21763895987089,0.533768158561338,0.676134412270199
"132","SW_19_C","Sea ice_1_C",0.218583600506772,0.55296174188808,0.672629898286637
"133","Sea ice_1_A","Sea ice_2",0.0979330523631595,0.536096656553906,0.515366055336644
"134","Sea ice_1_B","Sea ice_2",0.0827358268456963,0.613475620210111,0.638903585297722
"135","Sea ice_1_C","Sea ice_2",0.107171534756386,0.50028690084133,0.378950922001927
"136","Sea ice_2","Sea ice_2",0,0,0
"137","Meltwater_A","Sea ice_2",0.219225176030901,0.687368598361256,0.831345444885141
"138","Meltwater_B","Sea ice_2",0.137536542961755,0.74308864803585,0.865163490385066
"139","Meltwater_C","Sea ice_2",0.133019352335027,0.729653506969883,0.903714699134748
"140","SW_08_A","Sea ice_2",0.151250169093794,0.645233512206849,0.796391923805091
"141","SW_08_B","Sea ice_2",0.163125164439365,0.652334754251231,0.792424015813075
"142","SW_08_C","Sea ice_2",0.168270127357808,0.712052915725909,0.857940316504902
"143","SW_12_A","Sea ice_2",0.197866537044153,0.69315517196223,0.894309796007072
"144","SW_12_B","Sea ice_2",0.182816008100894,0.584555963274173,0.630044212725452
"145","SW_12_C","Sea ice_2",0.182993115993867,0.665453187720573,0.809766184330632
"146","SW_15_A","Sea ice_2",0.168421147040847,0.685724280697559,0.83630133577923
"147","SW_15_B","Sea ice_2",0.200989267031837,0.701150009635422,0.840076495516472
"148","SW_15_C","Sea ice_2",0.183203252749977,0.686291230877964,0.861528561793801
"149","SW_17_A","Sea ice_2",0.205381043263893,0.702778713553851,0.853572645924537
"150","SW_17_B","Sea ice_2",0.212219887850517,0.654984864761584,0.768746405399182
"151","SW_17_C","Sea ice_2",0.205023298802767,0.69818988091212,0.847721494995708
"152","SW_19_A","Sea ice_2",0.19485419422718,0.711897689756876,0.862842963201987
