"","SampleID","variable","value","superkingdom","phylum","clade","class","order","family","genus","species","strain","taxon"
"85","CTDSW","Firmicutes_Tenericutes_748",15,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"86","dockslush_1","Firmicutes_Tenericutes_748",455,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"87","dockslush_2","Firmicutes_Tenericutes_748",163,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"88","dockslush_3","Firmicutes_Tenericutes_748",647,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"89","Hero11","Firmicutes_Tenericutes_748",613,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"90","Hero12","Firmicutes_Tenericutes_748",144,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"91","Hero13","Firmicutes_Tenericutes_748",0,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"92","iceslush","Firmicutes_Tenericutes_748",0,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"93","blankMQ121118","Firmicutes_Tenericutes_748",39,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"94","B12","Firmicutes_Tenericutes_748",184,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"95","B13","Firmicutes_Tenericutes_748",234,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"96","B14","Firmicutes_Tenericutes_748",1554,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
