"","SampleID","variable","value","variable2"
"237","blankdry1","Bacteroidetes_1111",0,"Flavobacteriia"
"238","blankdry2","Bacteroidetes_1111",0,"Flavobacteriia"
"239","blankFiltSW1","Bacteroidetes_1111",0,"Flavobacteriia"
"240","blankFiltSW2","Bacteroidetes_1111",0,"Flavobacteriia"
"241","blankMQ191118","Bacteroidetes_1111",4.28415300546448,"Flavobacteriia"
"242","Carboy1","Bacteroidetes_1111",18.4754098360656,"Flavobacteriia"
"243","Carboy2","Bacteroidetes_1111",13.655737704918,"Flavobacteriia"
"244","Carboy3","Bacteroidetes_1111",22.7595628415301,"Flavobacteriia"
"245","Carboy4","Bacteroidetes_1111",18.4754098360656,"Flavobacteriia"
"246","Carboy5","Bacteroidetes_1111",18.7431693989071,"Flavobacteriia"
"247","Carboy6","Bacteroidetes_1111",12.8524590163934,"Flavobacteriia"
"248","Carboy7","Bacteroidetes_1111",22.7595628415301,"Flavobacteriia"
"249","Carboy8","Bacteroidetes_1111",29.9890710382514,"Flavobacteriia"
"250","Carboy9","Bacteroidetes_1111",36.6830601092896,"Flavobacteriia"
"251","core_1","Bacteroidetes_1111",8.0327868852459,"Flavobacteriia"
"252","core_2","Bacteroidetes_1111",62.655737704918,"Flavobacteriia"
"253","core_3","Bacteroidetes_1111",17.1366120218579,"Flavobacteriia"
"254","core_4","Bacteroidetes_1111",0,"Flavobacteriia"
"255","core_6","Bacteroidetes_1111",0,"Flavobacteriia"
"256","CTDSW","Bacteroidetes_1111",140.03825136612,"Flavobacteriia"
"257","dockslush_1","Bacteroidetes_1111",140.03825136612,"Flavobacteriia"
"258","dockslush_2","Bacteroidetes_1111",0,"Flavobacteriia"
"259","dockslush_3","Bacteroidetes_1111",94.7868852459017,"Flavobacteriia"
"260","Hero11","Bacteroidetes_1111",84.0765027322404,"Flavobacteriia"
"261","Hero12","Bacteroidetes_1111",29.7213114754098,"Flavobacteriia"
"262","Hero13","Bacteroidetes_1111",0,"Flavobacteriia"
"263","iceslush","Bacteroidetes_1111",5.08743169398907,"Flavobacteriia"
"264","blankMQ121118","Bacteroidetes_1111",3.48087431693989,"Flavobacteriia"
"265","B12","Bacteroidetes_1111",126.918032786885,"Flavobacteriia"
"266","B13","Bacteroidetes_1111",163.333333333333,"Flavobacteriia"
"267","B14","Bacteroidetes_1111",83.2732240437159,"Flavobacteriia"
"268","B21","Bacteroidetes_1111",53.016393442623,"Flavobacteriia"
"269","B22","Bacteroidetes_1111",209.92349726776,"Flavobacteriia"
"270","B23","Bacteroidetes_1111",95.5901639344262,"Flavobacteriia"
"271","B51","Bacteroidetes_1111",39.0928961748634,"Flavobacteriia"
"272","B52","Bacteroidetes_1111",34.0054644808743,"Flavobacteriia"
"273","B53","Bacteroidetes_1111",49,"Flavobacteriia"
"274","Barrow_Blank1","Bacteroidetes_1111",16.0655737704918,"Flavobacteriia"
"275","Barrow_Blank2","Bacteroidetes_1111",0,"Flavobacteriia"
"276","Barrow_S1IC4","Bacteroidetes_1111",3.21311475409836,"Flavobacteriia"
"277","Barrow_S1IC5","Bacteroidetes_1111",19.0109289617486,"Flavobacteriia"
"278","Barrow_S1IC6","Bacteroidetes_1111",51.9453551912568,"Flavobacteriia"
"279","Barrow_S2C1D","Bacteroidetes_1111",43.3770491803279,"Flavobacteriia"
"280","Barrow_S2C2","Bacteroidetes_1111",18.207650273224,"Flavobacteriia"
"281","Barrow_S2C3","Bacteroidetes_1111",16.8688524590164,"Flavobacteriia"
"282","mock_1","Bacteroidetes_1111",0,"Flavobacteriia"
"283","mock_2","Bacteroidetes_1111",0,"Flavobacteriia"
"284","mock_3","Bacteroidetes_1111",0,"Flavobacteriia"
"285","mock_4","Bacteroidetes_1111",0,"Flavobacteriia"
"286","B31","Bacteroidetes_1124",557.2,"Flavobacteriia"
"287","B32","Bacteroidetes_1124",402,"Flavobacteriia"
"288","B33","Bacteroidetes_1124",461.2,"Flavobacteriia"
"289","B41","Bacteroidetes_1124",589.8,"Flavobacteriia"
"290","B42","Bacteroidetes_1124",641.2,"Flavobacteriia"
"291","B43","Bacteroidetes_1124",656,"Flavobacteriia"
"292","blank771","Bacteroidetes_1124",1199,"Flavobacteriia"
"293","blank772","Bacteroidetes_1124",0,"Flavobacteriia"
"294","blankdry1","Bacteroidetes_1124",0,"Flavobacteriia"
"295","blankdry2","Bacteroidetes_1124",0,"Flavobacteriia"
"296","blankFiltSW1","Bacteroidetes_1124",0,"Flavobacteriia"
"297","blankFiltSW2","Bacteroidetes_1124",0,"Flavobacteriia"
"298","blankMQ191118","Bacteroidetes_1124",864.4,"Flavobacteriia"
"299","Carboy1","Bacteroidetes_1124",2264,"Flavobacteriia"
"300","Carboy2","Bacteroidetes_1124",2833.2,"Flavobacteriia"
"301","Carboy3","Bacteroidetes_1124",1039.8,"Flavobacteriia"
"302","Carboy4","Bacteroidetes_1124",1062.2,"Flavobacteriia"
"303","Carboy5","Bacteroidetes_1124",1046.6,"Flavobacteriia"
"304","Carboy6","Bacteroidetes_1124",2274.2,"Flavobacteriia"
"305","Carboy7","Bacteroidetes_1124",2869,"Flavobacteriia"
"306","Carboy8","Bacteroidetes_1124",3715,"Flavobacteriia"
"307","Carboy9","Bacteroidetes_1124",3149.8,"Flavobacteriia"
"308","core_1","Bacteroidetes_1124",1624.6,"Flavobacteriia"
"309","core_2","Bacteroidetes_1124",1555.4,"Flavobacteriia"
"310","core_3","Bacteroidetes_1124",1697.4,"Flavobacteriia"
"311","core_4","Bacteroidetes_1124",993.2,"Flavobacteriia"
"312","core_6","Bacteroidetes_1124",1414.4,"Flavobacteriia"
"313","CTDSW","Bacteroidetes_1124",269,"Flavobacteriia"
"314","dockslush_1","Bacteroidetes_1124",558.8,"Flavobacteriia"
"315","dockslush_2","Bacteroidetes_1124",1198.4,"Flavobacteriia"
"316","dockslush_3","Bacteroidetes_1124",689.6,"Flavobacteriia"
"317","Hero11","Bacteroidetes_1124",632.4,"Flavobacteriia"
"318","Hero12","Bacteroidetes_1124",403.4,"Flavobacteriia"
"319","Hero13","Bacteroidetes_1124",374.4,"Flavobacteriia"
