"","SampleID","variable","value","variable2"
"224","Barrow_S2C3","Bacteroidetes_1039",158.5,""
"225","mock_1","Bacteroidetes_1039",0,""
"226","mock_2","Bacteroidetes_1039",0,""
"227","mock_3","Bacteroidetes_1039",0,""
"228","mock_4","Bacteroidetes_1039",0,""
"229","B31","Bacteroidetes_1111",83.2732240437159,""
"230","B32","Bacteroidetes_1111",64.5300546448088,""
"231","B33","Bacteroidetes_1111",60.5136612021858,""
"232","B41","Bacteroidetes_1111",62.120218579235,""
"233","B42","Bacteroidetes_1111",55.9617486338798,""
"234","B43","Bacteroidetes_1111",74.9726775956284,""
"235","blank771","Bacteroidetes_1111",8.30054644808743,""
"236","blank772","Bacteroidetes_1111",0,""
"237","blankdry1","Bacteroidetes_1111",0,""
"238","blankdry2","Bacteroidetes_1111",0,""
"239","blankFiltSW1","Bacteroidetes_1111",0,""
"240","blankFiltSW2","Bacteroidetes_1111",0,""
"241","blankMQ191118","Bacteroidetes_1111",4.28415300546448,""
"242","Carboy1","Bacteroidetes_1111",18.4754098360656,""
"243","Carboy2","Bacteroidetes_1111",13.655737704918,""
"244","Carboy3","Bacteroidetes_1111",22.7595628415301,""
"245","Carboy4","Bacteroidetes_1111",18.4754098360656,""
"246","Carboy5","Bacteroidetes_1111",18.7431693989071,""
"247","Carboy6","Bacteroidetes_1111",12.8524590163934,""
"248","Carboy7","Bacteroidetes_1111",22.7595628415301,""
"249","Carboy8","Bacteroidetes_1111",29.9890710382514,""
"250","Carboy9","Bacteroidetes_1111",36.6830601092896,""
"251","core_1","Bacteroidetes_1111",8.0327868852459,""
"252","core_2","Bacteroidetes_1111",62.655737704918,""
"253","core_3","Bacteroidetes_1111",17.1366120218579,""
"254","core_4","Bacteroidetes_1111",0,""
"255","core_6","Bacteroidetes_1111",0,""
"256","CTDSW","Bacteroidetes_1111",140.03825136612,""
"257","dockslush_1","Bacteroidetes_1111",140.03825136612,""
"258","dockslush_2","Bacteroidetes_1111",0,""
"259","dockslush_3","Bacteroidetes_1111",94.7868852459017,""
"260","Hero11","Bacteroidetes_1111",84.0765027322404,""
"261","Hero12","Bacteroidetes_1111",29.7213114754098,""
"262","Hero13","Bacteroidetes_1111",0,""
"263","iceslush","Bacteroidetes_1111",5.08743169398907,""
"264","blankMQ121118","Bacteroidetes_1111",3.48087431693989,""
"265","B12","Bacteroidetes_1111",126.918032786885,""
"266","B13","Bacteroidetes_1111",163.333333333333,""
"267","B14","Bacteroidetes_1111",83.2732240437159,""
"268","B21","Bacteroidetes_1111",53.016393442623,""
"269","B22","Bacteroidetes_1111",209.92349726776,""
"270","B23","Bacteroidetes_1111",95.5901639344262,""
"271","B51","Bacteroidetes_1111",39.0928961748634,""
"272","B52","Bacteroidetes_1111",34.0054644808743,""
"273","B53","Bacteroidetes_1111",49,""
"274","Barrow_Blank1","Bacteroidetes_1111",16.0655737704918,""
"275","Barrow_Blank2","Bacteroidetes_1111",0,""
"276","Barrow_S1IC4","Bacteroidetes_1111",3.21311475409836,""
"277","Barrow_S1IC5","Bacteroidetes_1111",19.0109289617486,""
"278","Barrow_S1IC6","Bacteroidetes_1111",51.9453551912568,""
"279","Barrow_S2C1D","Bacteroidetes_1111",43.3770491803279,""
"280","Barrow_S2C2","Bacteroidetes_1111",18.207650273224,""
"281","Barrow_S2C3","Bacteroidetes_1111",16.8688524590164,""
"282","mock_1","Bacteroidetes_1111",0,""
"283","mock_2","Bacteroidetes_1111",0,""
"284","mock_3","Bacteroidetes_1111",0,""
"285","mock_4","Bacteroidetes_1111",0,""
"286","B31","Bacteroidetes_1124",557.2,"Tenacibaculum"
"287","B32","Bacteroidetes_1124",402,"Tenacibaculum"
"288","B33","Bacteroidetes_1124",461.2,"Tenacibaculum"
"289","B41","Bacteroidetes_1124",589.8,"Tenacibaculum"
"290","B42","Bacteroidetes_1124",641.2,"Tenacibaculum"
"291","B43","Bacteroidetes_1124",656,"Tenacibaculum"
"292","blank771","Bacteroidetes_1124",1199,"Tenacibaculum"
"293","blank772","Bacteroidetes_1124",0,"Tenacibaculum"
"294","blankdry1","Bacteroidetes_1124",0,"Tenacibaculum"
"295","blankdry2","Bacteroidetes_1124",0,"Tenacibaculum"
"296","blankFiltSW1","Bacteroidetes_1124",0,"Tenacibaculum"
"297","blankFiltSW2","Bacteroidetes_1124",0,"Tenacibaculum"
"298","blankMQ191118","Bacteroidetes_1124",864.4,"Tenacibaculum"
"299","Carboy1","Bacteroidetes_1124",2264,"Tenacibaculum"
"300","Carboy2","Bacteroidetes_1124",2833.2,"Tenacibaculum"
"301","Carboy3","Bacteroidetes_1124",1039.8,"Tenacibaculum"
"302","Carboy4","Bacteroidetes_1124",1062.2,"Tenacibaculum"
"303","Carboy5","Bacteroidetes_1124",1046.6,"Tenacibaculum"
"304","Carboy6","Bacteroidetes_1124",2274.2,"Tenacibaculum"
"305","Carboy7","Bacteroidetes_1124",2869,"Tenacibaculum"
"306","Carboy8","Bacteroidetes_1124",3715,"Tenacibaculum"
"307","Carboy9","Bacteroidetes_1124",3149.8,"Tenacibaculum"
"308","core_1","Bacteroidetes_1124",1624.6,"Tenacibaculum"
"309","core_2","Bacteroidetes_1124",1555.4,"Tenacibaculum"
"310","core_3","Bacteroidetes_1124",1697.4,"Tenacibaculum"
"311","core_4","Bacteroidetes_1124",993.2,"Tenacibaculum"
"312","core_6","Bacteroidetes_1124",1414.4,"Tenacibaculum"
"313","CTDSW","Bacteroidetes_1124",269,"Tenacibaculum"
"314","dockslush_1","Bacteroidetes_1124",558.8,"Tenacibaculum"
"315","dockslush_2","Bacteroidetes_1124",1198.4,"Tenacibaculum"
"316","dockslush_3","Bacteroidetes_1124",689.6,"Tenacibaculum"
"317","Hero11","Bacteroidetes_1124",632.4,"Tenacibaculum"
"318","Hero12","Bacteroidetes_1124",403.4,"Tenacibaculum"
"319","Hero13","Bacteroidetes_1124",374.4,"Tenacibaculum"
"320","iceslush","Bacteroidetes_1124",472.6,"Tenacibaculum"
"321","blankMQ121118","Bacteroidetes_1124",725.2,"Tenacibaculum"
"322","B12","Bacteroidetes_1124",726.6,"Tenacibaculum"
"323","B13","Bacteroidetes_1124",924.2,"Tenacibaculum"
"324","B14","Bacteroidetes_1124",1549.4,"Tenacibaculum"
"325","B21","Bacteroidetes_1124",308,"Tenacibaculum"
"326","B22","Bacteroidetes_1124",1507.6,"Tenacibaculum"
"327","B23","Bacteroidetes_1124",416.4,"Tenacibaculum"
"328","B51","Bacteroidetes_1124",1010.6,"Tenacibaculum"
"329","B52","Bacteroidetes_1124",916.6,"Tenacibaculum"
"330","B53","Bacteroidetes_1124",1126.4,"Tenacibaculum"
"331","Barrow_Blank1","Bacteroidetes_1124",1648.6,"Tenacibaculum"
"332","Barrow_Blank2","Bacteroidetes_1124",0,"Tenacibaculum"
"333","Barrow_S1IC4","Bacteroidetes_1124",543,"Tenacibaculum"
"334","Barrow_S1IC5","Bacteroidetes_1124",701.4,"Tenacibaculum"
"335","Barrow_S1IC6","Bacteroidetes_1124",1652,"Tenacibaculum"
"336","Barrow_S2C1D","Bacteroidetes_1124",1449.2,"Tenacibaculum"
"337","Barrow_S2C2","Bacteroidetes_1124",424.4,"Tenacibaculum"
"338","Barrow_S2C3","Bacteroidetes_1124",832.2,"Tenacibaculum"
"339","mock_1","Bacteroidetes_1124",0,"Tenacibaculum"
"340","mock_2","Bacteroidetes_1124",0,"Tenacibaculum"
"341","mock_3","Bacteroidetes_1124",0,"Tenacibaculum"
"342","mock_4","Bacteroidetes_1124",0,"Tenacibaculum"
"343","B31","Bacteroidetes_1149",23,"Polaribacter"
"344","B32","Bacteroidetes_1149",25,"Polaribacter"
"345","B33","Bacteroidetes_1149",19.5,"Polaribacter"
"346","B41","Bacteroidetes_1149",28.5,"Polaribacter"
"347","B42","Bacteroidetes_1149",37,"Polaribacter"
"348","B43","Bacteroidetes_1149",28.5,"Polaribacter"
"349","blank771","Bacteroidetes_1149",374,"Polaribacter"
"350","blank772","Bacteroidetes_1149",0,"Polaribacter"
"351","blankdry1","Bacteroidetes_1149",0,"Polaribacter"
"352","blankdry2","Bacteroidetes_1149",0,"Polaribacter"
"353","blankFiltSW1","Bacteroidetes_1149",0,"Polaribacter"
"354","blankFiltSW2","Bacteroidetes_1149",0,"Polaribacter"
"355","blankMQ191118","Bacteroidetes_1149",306,"Polaribacter"
"356","Carboy1","Bacteroidetes_1149",95.5,"Polaribacter"
"357","Carboy2","Bacteroidetes_1149",86,"Polaribacter"
"358","Carboy3","Bacteroidetes_1149",58,"Polaribacter"
"359","Carboy4","Bacteroidetes_1149",37.5,"Polaribacter"
"360","Carboy5","Bacteroidetes_1149",47,"Polaribacter"
"361","Carboy6","Bacteroidetes_1149",70,"Polaribacter"
"362","Carboy7","Bacteroidetes_1149",23,"Polaribacter"
"363","Carboy8","Bacteroidetes_1149",148.5,"Polaribacter"
"364","Carboy9","Bacteroidetes_1149",44.5,"Polaribacter"
"365","core_1","Bacteroidetes_1149",239,"Polaribacter"
"366","core_2","Bacteroidetes_1149",84.5,"Polaribacter"
"367","core_3","Bacteroidetes_1149",330,"Polaribacter"
"368","core_4","Bacteroidetes_1149",363.5,"Polaribacter"
"369","core_6","Bacteroidetes_1149",263,"Polaribacter"
"370","CTDSW","Bacteroidetes_1149",83,"Polaribacter"
"371","dockslush_1","Bacteroidetes_1149",48,"Polaribacter"
"372","dockslush_2","Bacteroidetes_1149",0,"Polaribacter"
"373","dockslush_3","Bacteroidetes_1149",33,"Polaribacter"
"374","Hero11","Bacteroidetes_1149",35.5,"Polaribacter"
