"","SampleID","variable","value","variable2"
"266","B13","Bacteroidetes_1111",163.333333333333,"Flavobacteriaceae"
"267","B14","Bacteroidetes_1111",83.2732240437159,"Flavobacteriaceae"
"268","B21","Bacteroidetes_1111",53.016393442623,"Flavobacteriaceae"
"269","B22","Bacteroidetes_1111",209.92349726776,"Flavobacteriaceae"
"270","B23","Bacteroidetes_1111",95.5901639344262,"Flavobacteriaceae"
"271","B51","Bacteroidetes_1111",39.0928961748634,"Flavobacteriaceae"
"272","B52","Bacteroidetes_1111",34.0054644808743,"Flavobacteriaceae"
"273","B53","Bacteroidetes_1111",49,"Flavobacteriaceae"
"274","Barrow_Blank1","Bacteroidetes_1111",16.0655737704918,"Flavobacteriaceae"
"275","Barrow_Blank2","Bacteroidetes_1111",0,"Flavobacteriaceae"
"276","Barrow_S1IC4","Bacteroidetes_1111",3.21311475409836,"Flavobacteriaceae"
"277","Barrow_S1IC5","Bacteroidetes_1111",19.0109289617486,"Flavobacteriaceae"
"278","Barrow_S1IC6","Bacteroidetes_1111",51.9453551912568,"Flavobacteriaceae"
"279","Barrow_S2C1D","Bacteroidetes_1111",43.3770491803279,"Flavobacteriaceae"
"280","Barrow_S2C2","Bacteroidetes_1111",18.207650273224,"Flavobacteriaceae"
"281","Barrow_S2C3","Bacteroidetes_1111",16.8688524590164,"Flavobacteriaceae"
"282","mock_1","Bacteroidetes_1111",0,"Flavobacteriaceae"
"283","mock_2","Bacteroidetes_1111",0,"Flavobacteriaceae"
"284","mock_3","Bacteroidetes_1111",0,"Flavobacteriaceae"
"285","mock_4","Bacteroidetes_1111",0,"Flavobacteriaceae"
"286","B31","Bacteroidetes_1124",557.2,"Tenacibaculum todarodis"
"287","B32","Bacteroidetes_1124",402,"Tenacibaculum todarodis"
"288","B33","Bacteroidetes_1124",461.2,"Tenacibaculum todarodis"
"289","B41","Bacteroidetes_1124",589.8,"Tenacibaculum todarodis"
"290","B42","Bacteroidetes_1124",641.2,"Tenacibaculum todarodis"
"291","B43","Bacteroidetes_1124",656,"Tenacibaculum todarodis"
"292","blank771","Bacteroidetes_1124",1199,"Tenacibaculum todarodis"
"293","blank772","Bacteroidetes_1124",0,"Tenacibaculum todarodis"
"294","blankdry1","Bacteroidetes_1124",0,"Tenacibaculum todarodis"
"295","blankdry2","Bacteroidetes_1124",0,"Tenacibaculum todarodis"
"296","blankFiltSW1","Bacteroidetes_1124",0,"Tenacibaculum todarodis"
"297","blankFiltSW2","Bacteroidetes_1124",0,"Tenacibaculum todarodis"
"298","blankMQ191118","Bacteroidetes_1124",864.4,"Tenacibaculum todarodis"
"299","Carboy1","Bacteroidetes_1124",2264,"Tenacibaculum todarodis"
"300","Carboy2","Bacteroidetes_1124",2833.2,"Tenacibaculum todarodis"
"301","Carboy3","Bacteroidetes_1124",1039.8,"Tenacibaculum todarodis"
"302","Carboy4","Bacteroidetes_1124",1062.2,"Tenacibaculum todarodis"
"303","Carboy5","Bacteroidetes_1124",1046.6,"Tenacibaculum todarodis"
"304","Carboy6","Bacteroidetes_1124",2274.2,"Tenacibaculum todarodis"
"305","Carboy7","Bacteroidetes_1124",2869,"Tenacibaculum todarodis"
"306","Carboy8","Bacteroidetes_1124",3715,"Tenacibaculum todarodis"
"307","Carboy9","Bacteroidetes_1124",3149.8,"Tenacibaculum todarodis"
"308","core_1","Bacteroidetes_1124",1624.6,"Tenacibaculum todarodis"
"309","core_2","Bacteroidetes_1124",1555.4,"Tenacibaculum todarodis"
"310","core_3","Bacteroidetes_1124",1697.4,"Tenacibaculum todarodis"
"311","core_4","Bacteroidetes_1124",993.2,"Tenacibaculum todarodis"
"312","core_6","Bacteroidetes_1124",1414.4,"Tenacibaculum todarodis"
"313","CTDSW","Bacteroidetes_1124",269,"Tenacibaculum todarodis"
"314","dockslush_1","Bacteroidetes_1124",558.8,"Tenacibaculum todarodis"
"315","dockslush_2","Bacteroidetes_1124",1198.4,"Tenacibaculum todarodis"
"316","dockslush_3","Bacteroidetes_1124",689.6,"Tenacibaculum todarodis"
"317","Hero11","Bacteroidetes_1124",632.4,"Tenacibaculum todarodis"
"318","Hero12","Bacteroidetes_1124",403.4,"Tenacibaculum todarodis"
"319","Hero13","Bacteroidetes_1124",374.4,"Tenacibaculum todarodis"
"320","iceslush","Bacteroidetes_1124",472.6,"Tenacibaculum todarodis"
"321","blankMQ121118","Bacteroidetes_1124",725.2,"Tenacibaculum todarodis"
"322","B12","Bacteroidetes_1124",726.6,"Tenacibaculum todarodis"
"323","B13","Bacteroidetes_1124",924.2,"Tenacibaculum todarodis"
"324","B14","Bacteroidetes_1124",1549.4,"Tenacibaculum todarodis"
"325","B21","Bacteroidetes_1124",308,"Tenacibaculum todarodis"
"326","B22","Bacteroidetes_1124",1507.6,"Tenacibaculum todarodis"
"327","B23","Bacteroidetes_1124",416.4,"Tenacibaculum todarodis"
"328","B51","Bacteroidetes_1124",1010.6,"Tenacibaculum todarodis"
"329","B52","Bacteroidetes_1124",916.6,"Tenacibaculum todarodis"
"330","B53","Bacteroidetes_1124",1126.4,"Tenacibaculum todarodis"
"331","Barrow_Blank1","Bacteroidetes_1124",1648.6,"Tenacibaculum todarodis"
"332","Barrow_Blank2","Bacteroidetes_1124",0,"Tenacibaculum todarodis"
"333","Barrow_S1IC4","Bacteroidetes_1124",543,"Tenacibaculum todarodis"
"334","Barrow_S1IC5","Bacteroidetes_1124",701.4,"Tenacibaculum todarodis"
"335","Barrow_S1IC6","Bacteroidetes_1124",1652,"Tenacibaculum todarodis"
"336","Barrow_S2C1D","Bacteroidetes_1124",1449.2,"Tenacibaculum todarodis"
"337","Barrow_S2C2","Bacteroidetes_1124",424.4,"Tenacibaculum todarodis"
"338","Barrow_S2C3","Bacteroidetes_1124",832.2,"Tenacibaculum todarodis"
"339","mock_1","Bacteroidetes_1124",0,"Tenacibaculum todarodis"
"340","mock_2","Bacteroidetes_1124",0,"Tenacibaculum todarodis"
"341","mock_3","Bacteroidetes_1124",0,"Tenacibaculum todarodis"
"342","mock_4","Bacteroidetes_1124",0,"Tenacibaculum todarodis"
"343","B31","Bacteroidetes_1149",23,"Polaribacter sp. L3A8"
"344","B32","Bacteroidetes_1149",25,"Polaribacter sp. L3A8"
"345","B33","Bacteroidetes_1149",19.5,"Polaribacter sp. L3A8"
"346","B41","Bacteroidetes_1149",28.5,"Polaribacter sp. L3A8"
"347","B42","Bacteroidetes_1149",37,"Polaribacter sp. L3A8"
"348","B43","Bacteroidetes_1149",28.5,"Polaribacter sp. L3A8"
"349","blank771","Bacteroidetes_1149",374,"Polaribacter sp. L3A8"
"350","blank772","Bacteroidetes_1149",0,"Polaribacter sp. L3A8"
"351","blankdry1","Bacteroidetes_1149",0,"Polaribacter sp. L3A8"
"352","blankdry2","Bacteroidetes_1149",0,"Polaribacter sp. L3A8"
"353","blankFiltSW1","Bacteroidetes_1149",0,"Polaribacter sp. L3A8"
"354","blankFiltSW2","Bacteroidetes_1149",0,"Polaribacter sp. L3A8"
