"","SampleID","variable","value","variable2"
"354","blankFiltSW2","Bacteroidetes_1149",0,"Bacteroidetes"
"355","blankMQ191118","Bacteroidetes_1149",306,"Bacteroidetes"
"356","Carboy1","Bacteroidetes_1149",95.5,"Bacteroidetes"
"357","Carboy2","Bacteroidetes_1149",86,"Bacteroidetes"
"358","Carboy3","Bacteroidetes_1149",58,"Bacteroidetes"
"359","Carboy4","Bacteroidetes_1149",37.5,"Bacteroidetes"
"360","Carboy5","Bacteroidetes_1149",47,"Bacteroidetes"
"361","Carboy6","Bacteroidetes_1149",70,"Bacteroidetes"
"362","Carboy7","Bacteroidetes_1149",23,"Bacteroidetes"
"363","Carboy8","Bacteroidetes_1149",148.5,"Bacteroidetes"
"364","Carboy9","Bacteroidetes_1149",44.5,"Bacteroidetes"
"365","core_1","Bacteroidetes_1149",239,"Bacteroidetes"
"366","core_2","Bacteroidetes_1149",84.5,"Bacteroidetes"
"367","core_3","Bacteroidetes_1149",330,"Bacteroidetes"
"368","core_4","Bacteroidetes_1149",363.5,"Bacteroidetes"
"369","core_6","Bacteroidetes_1149",263,"Bacteroidetes"
"370","CTDSW","Bacteroidetes_1149",83,"Bacteroidetes"
"371","dockslush_1","Bacteroidetes_1149",48,"Bacteroidetes"
"372","dockslush_2","Bacteroidetes_1149",0,"Bacteroidetes"
"373","dockslush_3","Bacteroidetes_1149",33,"Bacteroidetes"
"374","Hero11","Bacteroidetes_1149",35.5,"Bacteroidetes"
"375","Hero12","Bacteroidetes_1149",78,"Bacteroidetes"
"376","Hero13","Bacteroidetes_1149",74.5,"Bacteroidetes"
"377","iceslush","Bacteroidetes_1149",94.5,"Bacteroidetes"
"378","blankMQ121118","Bacteroidetes_1149",264.5,"Bacteroidetes"
"379","B12","Bacteroidetes_1149",136.5,"Bacteroidetes"
"380","B13","Bacteroidetes_1149",155.5,"Bacteroidetes"
"381","B14","Bacteroidetes_1149",52.5,"Bacteroidetes"
"382","B21","Bacteroidetes_1149",24.5,"Bacteroidetes"
"383","B22","Bacteroidetes_1149",245,"Bacteroidetes"
"384","B23","Bacteroidetes_1149",42.5,"Bacteroidetes"
