SampID,CultureID_short,Sample_type,Site,Ice_or_no,Temp,Exp_group,Withinexp,Melt_hyp,FigureID,Figure_SampID,Figure_SampID_metab,FigureID_separated,FigureID_rep,FigureID_rep_amp,Average,Average_YN,Average_YN_2,Average_2,Sample_group,Salinity
StaB3_B,StaB3,SW_Station B3,Seawater,Field,-0.3,Field,,Ambient SW salinity,SW_15,SW3_B,SW3_B,SW_15,SW_15_B,SW_15_B,SW_15,Y,Y,SW_15,Field,35.2
StaB3_C,StaB3,SW_Station B3,Seawater,Field,-0.3,Field,,Ambient SW salinity,SW_15,SW3_C,SW3_C,SW_15,SW_15_C,SW_15_C,SW_15,Y,Y,SW_15,Field,35.2
StaB4_A,StaB4,SW_Station B4,Seawater,Field,-0.1,Field,,Ambient SW salinity,SW_17,SW4_A,SW4_A,SW_17,SW_17_A,SW_17_A,SW_17,Y,Y,SW_17,Field,35.2
StaB4_B,StaB4,SW_Station B4,Seawater,Field,-0.1,Field,,Ambient SW salinity,SW_17,SW4_B,SW4_B,SW_17,SW_17_B,SW_17_B,SW_17,Y,Y,SW_17,Field,35.2
StaB4_C,StaB4,SW_Station B4,Seawater,Field,-0.1,Field,,Ambient SW salinity,SW_17,SW4_C,SW4_C,SW_17,SW_17_C,SW_17_C,SW_17,Y,Y,SW_17,Field,35.2
StaB5_A,StaB5,SW_Station B5,Seawater,Field,0,Field,,Ambient SW salinity,SW_19,SW5_A,SW5_A,SW_19,SW_19_A,SW_19_A,SW_19,Y,Y,SW_19,Field,35.2
StaB5_B,StaB5,SW_Station B5,Seawater,Field,0,Field,,Ambient SW salinity,SW_19,SW5_B,SW5_B,SW_19,SW_19_B,SW_19_B,SW_19,Y,Y,SW_19,Field,35.2
StaB5_C,StaB5,SW_Station B5,Seawater,Field,0,Field,,Ambient SW salinity,SW_19,SW5_C,SW5_C,SW_19,SW_19_C,SW_19_C,SW_19,Y,Y,SW_19,Field,35.2
Dockslush_A,Dockslush,Dockslush,Seawater,Field,,Field,,Ambient SW salinity,,,,,,,,,,,Field,
Dockslush_B,Dockslush,Dockslush,Seawater,Field,,Field,,Ambient SW salinity,,,,,,,,,,,Field,
Dockslush_C,Dockslush,Dockslush,Seawater,Field,,Field,,Ambient SW salinity,,,,,,,,,,,Field,
