"","VarA","VarB","rho.spear","p.spear","fdr.spear","rho.clr","p.clr","fdr.clr","sparcc","p.sparcc","fdr.sparcc"
"215","MAST.1A_XX_sp..9","Pseudopedinella_elastica.4",0.619224135533505,0.00162925691328444,0.00561068117186728,0.461082297248811,0.0268001947125061,0.0756457108820735,0.0161814910462849,0.8,1
"216","MAST.1A_XX_sp..9","Porosira_pseudodelicatula.11",0.440711462450593,0.0353066168388489,0.0750878569923435,0.41403162055336,0.0495232313210114,0.120368965016347,-0.0520336532300531,1,1
"217","Fragilariopsis_sublineata.15","MAST.1A_XX_sp..9",0.606375111172874,0.00216013280983847,0.0071133405700326,0.622683488245983,0.0015069819839387,0.00726472380400345,0.00744303022130857,0.82,1
"218","MAST.1A_XX_sp..9","Thalassiosira_tumida.10",0.690387962761617,0.000266174045724356,0.00122580152636217,0.599456405747918,0.00250224479844054,0.0110658840364248,-0.0334309381878108,0.72,1
"219","MAST.1A_XX_sp..9","NA..12",0.505202143538435,0.0139353269556568,0.0347673635859056,0.238237481413713,0.273653207589886,0.408313251276017,0.0316545490116416,0.86,1
"220","MAST.1A_XX_sp..9","Stellarima_microtrias.4",0.259881422924901,0.23109028352368,0.330321583799893,0.195652173913043,0.370958611362968,0.509479101560285,0.0472954825637833,0.94,1
"221","MAST.1A_XX_sp..9","Rhizosolenia_pungens.14",0.297430830039526,0.168107241142981,0.260014356565848,0.216403162055336,0.3213076984569,0.463566179057761,-0.0570424532492423,0.96,1
"222","MAST.1A_XX_sp..9","Thalassiosira_tumida.6",0.3587842956084,0.0927197752288344,0.161797328568835,0.195700524877309,0.370838049717921,0.509479101560285,-0.0522239027151025,1,1
"223","Corethron_inerme.19","MAST.1A_XX_sp..9",0.19881315363504,0.363124306684778,0.474198480900163,-0.174085149451578,0.426951757359357,0.55999797839989,0.0249039228286123,1,1
"224","Corethron_inerme.17","MAST.1A_XX_sp..9",0.206521739130435,0.344425737427911,0.454656819341801,0.141304347826087,0.52014627864397,0.644266118643946,-0.0149568400432212,0.98,1
"225","MAST.1A_XX_sp..9","Polar.centric.Mediophyceae.5",0.278230796732134,0.198618234962995,0.294560941682409,0.255992100723348,0.238396692638386,0.365501812868614,-0.042474596219697,0.9,1
"226","MAST.1A_XX_sp..9","Pentapharsodinium_dalei.4",0.463511275003077,0.0259062578172196,0.0585519664688081,0.598577463740533,0.00254881913022787,0.0112313073184501,-0.0991412140673383,0.86,1
"227","MAST.1A_XX_sp..9","Planktoniella_sol.2",0.877470355731225,3.85474074207419e-08,4.67530436538701e-07,0.857707509881423,1.69214011227385e-07,2.76382885004729e-06,0.0105229972069129,0.9,1
"228","Cryptophyceae.4","MAST.1A_XX_sp..9",0.58300395256917,0.00350405904733412,0.0109501845229191,0.597826086956522,0.00258921325753544,0.0113684094640893,-0.00393335567009568,0.9,1
"229","MAST.1A_XX_sp..9","Strombidiidae_M_X_sp..8",0.779342746796758,1.17271365893591e-05,8.07064175391286e-05,0.763528562968288,2.24836725682728e-05,0.00022762395781929,-0.0639716148037897,0.78,1
