,VarA,VarB,rho.spear,p.spear,fdr.spear,rho.clr,p.clr,fdr.clr,sparcc,p.sparcc,fdr.sparcc
876,Candidatus.Pelagibacter.6,Planktoniella_sol.2,0.464728243,0.007367276,0.020748,0.309329577,0.084933239,0.148304479,0.026150663,0.92,1
645,Candidatus.Pelagibacter.6,Rhizosolenia_pungens.14,-0.066415959,0.717982239,0.803456316,-0.285111603,0.1137188,0.189475342,-0.091502303,0.88,1
918,Candidatus.Pelagibacter.6,MAST.1A_XX_sp..9,0.353362257,0.047265099,0.09571819,0.276305067,0.125816791,0.204955358,0.05177166,0.9,1
116,Candidatus.Pelagibacter.6,Pentapharsodinium_dalei.4,0.626742097,0.000124044,0.000621876,0.23667455,0.192169649,0.284716532,-0.029696369,0.86,1
610,Candidatus.Pelagibacter.6,Pseudopedinella_elastica.4,0.007339453,0.968199295,0.980161221,-0.234495512,0.196415589,0.289238623,0.095312332,NA,NA
315,Candidatus.Pelagibacter.6,Octadecabacter,-0.390094521,0.027300914,0.060620926,-0.20511272,0.260100189,0.363506186,0.030858704,0.88,1
106,Candidatus.Pelagibacter.6,Raphid.pennate_X_sp..15,0.062396787,0.734416025,0.814573526,0.200403798,0.271438864,0.376146239,0.09097017,0.98,1
543,Candidatus.Pelagibacter.6,Cryptophyceae.4,0.045316966,0.805466521,0.869441374,-0.110632108,0.546651345,0.642985107,0.046340154,0.98,1
681,Candidatus.Pelagibacter.6,Marinomonas.5,0.130997223,0.474832678,0.591835648,-0.096321487,0.599986272,0.692396257,0.005000591,0.96,1
576,Candidatus.Pelagibacter.6,Rhizosolenia_pungens.15,0.147339512,0.420979187,0.541464678,-0.084954164,0.643872962,0.727015717,0.037649908,1,1
835,Candidatus.Pelagibacter.6,Thalassiosira_tumida.12,-0.012477069,0.945964473,0.969223327,-0.078532143,0.669211015,0.748878993,-0.018643864,0.74,1
1005,Candidatus.Pelagibacter.6,Glaciecola.amylolytica.5,0.237959941,0.189695259,0.289548379,-0.026236138,0.886658592,0.924353874,-0.037850173,0.74,1
961,Candidatus.Pelagibacter.6,NA..164,-0.214191821,0.239128365,0.348047478,NA,NA,NA,0.014575036,0.96,1
136,Candidatus.Pelagibacter.sp..FZCC0015.3,Candidatus.Pelagibacter.sp..FZCC0015.3,1,0,0,1,0,0,1,1,1
152,Candidatus.Pelagibacter.sp..FZCC0015.3,Candidatus.Thioglobus.sp..NP1.1,0.944184772,5.19E-16,1.22E-14,0.915223173,2.25E-13,2.68E-12,-0.050345146,0.72,1
124,Candidatus.Pelagibacter.sp..FZCC0015.3,Placidiales_XX_sp.,0.832676185,3.41E-09,4.53E-08,0.842950475,1.42E-09,1.47E-08,0.054929814,0.84,1
1051,Candidatus.Pelagibacter.sp..FZCC0015.3,Chaetoceros_neogracilis.2,-0.500412598,0.003536784,0.01112388,-0.831209347,3.85E-09,3.81E-08,0.01971808,0.92,1
134,Candidatus.Pelagibacter.sp..FZCC0015.3,Pseudohongiella.spirulinae.2,0.894370132,5.29E-12,1.05E-10,0.824316945,6.68E-09,6.33E-08,-0.013107388,0.84,1
133,Candidatus.Pelagibacter.sp..FZCC0015.3,Planktomarina.temperata.RCA23.7,0.857156324,3.78E-10,5.76E-09,0.814587499,1.40E-08,1.25E-07,-0.030335912,0.6,1
123,Candidatus.Pelagibacter.sp..FZCC0015.3,NA..12,0.755710743,5.72E-07,5.04E-06,0.761581766,4.14E-07,3.20E-06,0.005259568,0.94,1
132,Candidatus.Pelagibacter.sp..FZCC0015.3,Marinomonas.10,0.781484876,1.30E-07,1.28E-06,0.708890926,5.60E-06,3.69E-05,0.046086565,0.98,1
129,Candidatus.Pelagibacter.sp..FZCC0015.3,Thalassiosira_tumida.6,0.700889177,7.92E-06,5.35E-05,0.701255847,7.80E-06,5.00E-05,0.016198255,1,1
125,Candidatus.Pelagibacter.sp..FZCC0015.3,Thalassiosira_tumida.10,0.778690822,1.54E-07,1.49E-06,0.69262935,1.12E-05,6.98E-05,-0.111147784,0.9,1
