Compound,Rep,nmol.conc,rel_PA,umol.C,umol.N,C,N,umol.conc,Adjusted_Area,calc.blk.area.ratio,blank.area,Compound_Type,mgCtotal,umolCtotal,mgNtotal,umolNtotal,umol.conc.perumolC,relPA.perumolC,ratio.C,ratio.N,percent.C,percent.N,Ni.C,Ni.N,Nt_carbon,molfractionC,Nt_nitro,molfractionN
Uridine,Smp_Pink_A,32.60157343906742,1600505300,0.2934141609516068,0.06520314687813485,9,2,0.03260157343906742,16005053,Inf,0,Nucleoside,0.798187087,66.45467376,0.03668128535,2.6188385094276314,4.90583605252619e-4,24084164.58081187,0.004415252447273571,0.024897734871168337,0.4415252447273571,2.4897734871168336,293.4141609516068,65.20314687813485,80030.39143966713,0.0036662842162005944,21047.587903361855,0.003097891652834964
Uridine,Smp_Pink_B,59.69466638717905,2930583400,0.5372519974846115,0.11938933277435808,9,2,0.059694666387179046,29305834,Inf,0,Nucleoside,3.269362387,272.1973513,0.1254902336,8.9593004490708,2.1930656599735638e-4,10766392.053426275,0.0019737590939762077,0.013325742724337406,0.19737590939762079,1.3325742724337406,537.2519974846115,119.3893327743581,173876.23609866985,0.0030898529295270466,36214.86961705742,0.003296693707220335
Uridine,Smp_Pink_C,49.424306463662816,2426381800,0.44481875817296535,0.09884861292732564,9,2,0.04942430646366282,24263818,Inf,0,Nucleoside,1.61670338,134.6018966,0.07256983295000001,5.181079979581201,3.6718878197190884e-4,18026356.695482105,0.0033046990377471794,0.019078766071338626,0.33046990377471797,1.9078766071338626,444.8187581729653,98.84861292732563,139379.40062563264,0.0031914239563113796,33583.78499839547,0.0029433434299334727
Urocanic acid,Smp_Orange_A,3.918449980365224,516249690.4937758,0.02351069988219134,0.00783689996073044,6,2,0.003918449980365224,14971241.024319498,12.029972093417102,1244495.075139192,Amino Acid derivative,15.13934563,1260.456717,1.05717892675,75.47665950937765,3.1087540948581608e-6,409573.5169094075,1.8652524569148963e-5,1.0383209871333452e-4,0.0018652524569148963,0.010383209871333452,23.510699882191343,7.836899960730448,497937.8795977986,4.7216130456236305e-5,88455.57226356486,8.859701836962161e-5
Urocanic acid,Smp_Orange_B,5.073417818847863,668414906.8764416,0.03044050691308718,0.01014683563769572,6,2,0.005073417818847863,6684149.068764416,5.370972695907872,1244495.075139192,Amino Acid derivative,7.245075835,603.2033831,0.49836616040000004,35.580555048655285,8.410791386438202e-6,1108108.6837432918,5.046474831862922e-5,2.851792397229398e-4,0.005046474831862922,0.02851792397229398,30.44050691308718,10.146835637695727,776986.0717885544,3.917767385844611e-5,152008.04926532894,6.675196271997741e-5
Urocanic acid,Smp_Orange_C,2.893471026556729,381210307.4934216,0.01736082615934037,0.00578694205311345,6,2,0.0028934710265567294,3812103.074934216,3.0631724874506614,1244495.075139192,Amino Acid derivative,2.202364003,183.3622515,0.1492131719,10.652985492657084,1.5780080157647546e-5,2079001.0177935755,9.468048094588524e-5,5.432225602017657e-4,0.009468048094588524,0.054322256020176575,17.360826159340377,5.786942053113458,244299.84644329475,7.106359832841751e-5,55194.32460057564,1.0484668659308324e-4
Cytosine,Smp_Orange_A,13.064055346746796,2372054250.1119537,0.05225622138698718,0.03919216604024039,4,3,0.013064055346746796,68789573.253246665,25.44250226667196,2703726.722011796,Nucleic Acid,15.13934563,1260.456717,1.05717892675,75.47665950937765,1.0364541019576157e-5,1881900.598505005,4.145816407830462e-5,5.192620645243438e-4,0.004145816407830462,0.051926206452434384,52.256221386987185,39.19216604024039,497937.8795977986,1.049452623070097e-4,88455.57226356486,4.430717594982286e-4
Cytosine,Smp_Orange_B,25.19180745044756,6093391788.257484,0.10076722980179025,0.07557542235134268,4,3,0.025191807450447558,60933917.88257485,22.53701063295146,2703726.722011796,Nucleic Acid,7.245075835,603.2033831,0.49836616040000004,35.580555048655285,4.176337228246484e-5,10101720.18091502,1.6705348912985938e-4,0.0021240653004989856,0.01670534891298594,0.21240653004989857,100.76722980179024,75.57542235134268,776986.0717885544,1.2968987921473655e-4,152008.04926532894,4.97180397463205e-4
Cytosine,Smp_Orange_C,18.078735373183285,3210465101.5811524,0.07231494149273314,0.05423620611954986,4,3,0.018078735373183285,32104651.015811525,11.87422188582839,2703726.722011796,Nucleic Acid,2.202364003,183.3622515,0.1492131719,10.652985492657084,9.859573181115353e-5,17508866.057860073,3.9438292724461413e-4,0.005091174315118886,0.039438292724461414,0.5091174315118886,72.31494149273314,54.236206119549855,244299.84644329475,2.960089518906775e-4,55194.32460057564,9.826409963712866e-4
Cytosine,Smp_Pink_A,3.452743842260663,623566346.9039204,0.01381097536904265,0.01035823152678198,4,3,0.003452743842260663,6235663.4690392045,3.882069721086623,1606272.9206454828,Nucleic Acid,0.798187087,66.45467376,0.03668128535,2.6188385094276314,5.1956373373078205e-5,9383333.204763299,2.078254934923128e-4,0.003955276925054022,0.02078254934923128,0.3955276925054022,13.810975369042652,10.358231526781989,80030.39143966713,1.7257163335823982e-4,21047.587903361855,4.921339002996874e-4
Cytosine,Smp_Pink_B,5.556659049016649,1007677560.3409356,0.02222663619606659,0.01666997714704994,4,3,0.0055566590490166495,10076775.603409356,6.273389455734577,1606272.9206454828,Nucleic Acid,3.269362387,272.1973513,0.1254902336,8.9593004490708,2.0414081997779712e-5,3702010.8958750754,8.165632799111882e-5,0.0018606337896368728,0.008165632799111882,0.18606337896368727,22.226636196066597,16.66997714704995,173876.23609866985,1.2783021242450643e-4,36214.86961705742,4.603075290156033e-4
Cytosine,Smp_Pink_C,4.337523575929891,802025381.9648787,0.01735009430371956,0.01301257072778967,4,3,0.004337523575929892,8020253.819648787,4.993082879356416,1606272.9206454828,Nucleic Acid,1.61670338,134.6018966,0.07256983295000001,5.181079979581201,3.2224832528324805e-5,5958499.859391124,1.2889933011329916e-4,0.002511555656170648,0.012889933011329917,0.2511555656170648,17.350094303719565,13.012570727789674,139379.40062563264,1.2448105118719233e-4,33583.78499839547,3.874658776076423e-4
L-Alanine,Smp_Orange_A,2291.3453020245847,52963804975.461655,6.874035906073754,2.2913453020245846,3,1,2.2913453020245846,1535950344.288388,898.2969061578177,1709847.082584234,Amino Acid,15.13934563,1260.456717,1.05717892675,75.47665950937765,0.0018178690875464505,42019534.872661285,0.005453607262639351,0.03035832954080188,0.5453607262639352,3.035832954080188,6874.035906073754,2291.3453020245847,497937.8795977986,0.013805006985261188,88455.57226356486,0.02590391134655965
L-Alanine,Smp_Orange_B,3576.206811540957,82663018948.30714,10.728620434622872,3.576206811540957,3,1,3.576206811540957,826630189.4830714,483.4527004799263,1709847.082584234,Amino Acid,7.245075835,603.2033831,0.49836616040000004,35.580555048655285,0.005928691568608275,137040045.3052551,0.017786074705824825,0.10051014681054321,1.7786074705824824,10.05101468105432,10728.620434622871,3576.206811540957,776986.0717885544,0.013807995824077669,152008.04926532894,0.02352643053328521
L-Alanine,Smp_Orange_C,1447.2908467889436,33453722616.303383,4.341872540366831,1.4472908467889436,3,1,1.4472908467889436,334537226.16303384,195.6533011463341,1709847.082584234,Amino Acid,2.202364003,183.3622515,0.1492131719,10.652985492657084,0.007893068692979828,182446072.42021883,0.023679206078939485,0.1358577694287236,2.3679206078939483,13.58577694287236,4341.87254036683,1447.2908467889436,244299.84644329475,0.017772719072808082,55194.32460057564,0.02622173307242262
L-Alanine,Smp_Pink_A,389.4526107432434,9002088032.896671,1.16835783222973,0.3894526107432434,3,1,0.3894526107432434,90020880.32896672,151.51418415522613,594141.6035131102,Amino Acid,0.798187087,66.45467376,0.03668128535,2.6188385094276314,0.005860424688107646,135462075.48031262,0.017581274064322937,0.14871196117715615,1.7581274064322936,14.871196117715616,1168.35783222973,389.4526107432434,80030.39143966713,0.01459892687280588,21047.587903361855,0.018503431962435826
L-Alanine,Smp_Pink_B,735.0616341027738,16990743821.616177,2.2051849023083214,0.7350616341027738,3,1,0.7350616341027738,169907438.21616176,285.9712856522976,594141.6035131102,Amino Acid,3.269362387,272.1973513,0.1254902336,8.9593004490708,0.0027004731331593005,62420680.217751175,0.008101419399477902,0.08204453442333319,0.8101419399477903,8.20445344233332,2205.1849023083214,735.0616341027738,173876.23609866985,0.012682497342862548,36214.86961705742,0.02029723265264927
L-Alanine,Smp_Pink_C,752.7856091337528,17400428540.938614,2.258356827401258,0.7527856091337528,3,1,0.7527856091337528,174004285.40938613,292.86669100516303,594141.6035131102,Amino Acid,1.61670338,134.6018966,0.07256983295000001,5.181079979581201,0.005592682036055002,129273279.05822846,0.016778046108165003,0.14529511455150365,1.6778046108165003,14.529511455150365,2258.3568274012587,752.7856091337528,139379.40062563264,0.01620294546585914,33583.78499839547,0.022415150917912276
