"","List.of.MFs","list.of.pvals","list.of.qvals","Sig"
"190","FAD",6.05828282826067e-07,1.02233522726899e-05,TRUE
"191","Fructose 6 phosphate",0.0113026898820683,0.0231191383951397,TRUE
"192","Gluconic Acid",0.00595837017822108,0.0135189911606697,TRUE
"193","Glucose 1 phosphate",0.0100986153176684,0.0213017666857068,TRUE
"194","Glucose 6 phosphate",0.499384790381981,0.532940290130968,FALSE
"195","Glucosylglycerol",0.00141663200907738,0.00478113303063614,TRUE
"196","Glutamic acid",0.000592498764743186,0.00228535237829515,TRUE
"197","Glutamine",0.00379591334940353,0.0100480059248917,TRUE
"198","Glutathione",1.37415532643208e-10,1.85510969068331e-08,TRUE
"199","Glutathione Disulfide",0.000356286093002084,0.00150308195485254,TRUE
"200","glycerol 3 phosphate",0.325947790839244,0.36977270389326,FALSE
"201","Glycerophosphocholine",5.79421717599636e-05,0.000327259074463859,TRUE
"202","Glycine",0.0104379631708284,0.0216788465855666,TRUE
"203","GMP",0.0168362568061607,0.0320126009694605,TRUE
"204","Gonyol",0.000165561547075291,0.000812756685642338,TRUE
"205","Guanine",8.98616677726794e-08,3.03283128732793e-06,TRUE
"206","Guanosine",0.0943707577348744,0.128040726574955,FALSE
"207","Histidine",0.00395460705372626,0.0103664456748164,TRUE
"208","Homarine",3.48709093994575e-06,3.92297730743897e-05,TRUE
"209","Homoserine",0.00208459325566518,0.00632404695538876,TRUE
"210","Hydroxo B12",1.29976498895301e-05,0.000106344408187065,TRUE
"211","Hypotaurine",1.24301285262133e-05,0.000104879209439925,TRUE
"212","Hypoxanthine",0.186964015658585,0.22636898756869,FALSE
"213","IAA",0.000353638934055855,0.00150308195485254,TRUE
"214","Indole 3 acetamide",0.263728452538466,0.310946210416533,FALSE
"215","Indole 3 methyl acetate",0.00342294340054777,0.00933913169238584,TRUE
"216","Inosine",0.00108452754998572,0.0038529268223177,TRUE
"217","Isethionic Acid",3.57002817463871e-10,3.21302535717484e-08,TRUE
"218","Isobutyryl-L-carnitine",0.000308844905364383,0.00136701843358006,TRUE
"219","Ketoglutaric Acid",0.00100499957706603,0.00361799847743772,TRUE
"220","Kynurenine",1.90740731148618e-05,0.000139189182189532,TRUE
"221","L-Pyroglutamic acid",0.0506417535184839,0.0759626302777259,FALSE
"222","Leucine",0.0209758987801606,0.0372598202016011,TRUE
"223","Lysine",0.605968338241179,0.629274812788917,FALSE
"224","Methionine",0.0414473172941698,0.0646865645631552,FALSE
"225","Methionine Sulfoxide",0.0310161385352609,0.0498473655030979,TRUE
"226","Methylmalonyl carnitine",0.00024638794788422,0.0011275380665888,TRUE
"227","Methylthioadenosine",0.0887014559202221,0.121570523342436,FALSE
"228","Muramic Acid",0.0298271705913552,0.0482235692195563,TRUE
"229","N-Acetyl-Serine",0.0198187471307022,0.0361558224681729,TRUE
"230","N-Acetylglucosamine",0.000182463980446538,0.000879737048581522,TRUE
"231","N-acetyltaurine",1.78811274251659e-05,0.000134108455688745,TRUE
"232","N(e)-Acetyl-Lysine",3.51226879947236e-09,2.37078143964384e-07,TRUE
"233","NAD",5.04008432834877e-20,1.36082276865417e-17,TRUE
"234","Ophthalmic Acid",0.544036911370875,0.576039082627986,FALSE
"235","Ornithine",0.158515161686313,0.197230846337809,FALSE
"236","Orotic Acid",0.000471975632320138,0.00184686116994837,TRUE
"237","PEP",0.389982044413908,0.429776130578593,FALSE
"238","Phenylalanine",0.00375300732255212,0.0100480059248917,TRUE
"239","Phosphoglyceric Acid",0.164784152669721,0.204090464315709,FALSE
"240","Proline",1.45234077902969e-05,0.000115332944217063,TRUE
"241","Propionyl-L-carnitine",9.91114789673297e-06,8.92003310705967e-05,TRUE
"242","Propionylglycine",2.12003634017856e-06,2.60186278112823e-05,TRUE
"243","Pyridoxal",3.81979100507156e-07,7.93341208745631e-06,TRUE
"244","Resorcylic Acid",0.739183800220472,0.75029934608845,FALSE
"245","Ribose 5 phosphate",0.000143766119207276,0.000727207310188009,TRUE
"246","RP B12",5.65424603910193e-07,1.01776428703835e-05,TRUE
"247","Serine",0.00266658850386097,0.00765934995789854,TRUE
"248","Stachydrine hydrochloride",9.38336740995182e-05,0.000496766509938626,TRUE
"249","Sulfurol",4.82430896974285e-07,9.30402444164692e-06,TRUE
"250","Taurine",1.38021847265267e-06,1.7745666076963e-05,TRUE
"251","Thiamine monophosphate",8.80563458643283e-07,1.31410154401582e-05,TRUE
"252","Threonic acid",2.47374198958127e-06,2.90395798776932e-05,TRUE
"253","Threonine",0.00416263923987497,0.0108068518727523,TRUE
"254","trans Hydroxyl proline",0.0116948422456848,0.0237414090701872,TRUE
"255","Trigonelline",0.00661141343339466,0.0145128587562322,TRUE
